id;code;descr;value_type;multiple
1;PCI Gloves Implemented;Forward Future-proofed;SELECT;false
2;parsing;Heights transmit Shoes;SELECT;false
3;Plain back-end Incredible;parsing Visionary;TEXT;true
4;navigating Overpass Managed;Licensed Paradigm;SELECT;false
5;Macao;circuit Berkshire;SELECT;false
6;Web Avon;Account navigate Drive;TEXT;false
7;white Tuna;models multi-tasking;TEXT;true
8;cultivate Leone;architect Chair;SELECT;false
9;bi-directional;policy state invoice;TEXT;false
10;Liaison;Handcrafted synthesize dedicated;SELECT;true
